SA4_NAME_2016,ANZSCO,SA4 code,unemprate,unempscore,averageannualmvmt20132016,averscore,housepiceandrent,rent,pricescore,rentscore,income,incomescore,occunemp,occempscore,patents,trade,newbus,patscore,tradescore,newbusscore,unemprate_SA4,unempscore_SA4,total_businesses2013,total_business2014,increasetotalbus201314,incbus_score,propJVinc201316,JV_score
Melbourne - South East,51,212,38.90713021,0,1.543198205,2,540,350,1,2,72500,2,-6.610499028,1,-12.17948718,3.668639053,21.782988,2,2,3,4.104195617,1,51567,52849,2.486086063,3,47.23127036,2
Melbourne - West,51,213,38.90713021,0,25.77416878,3,455,360,1,2,75200,2,-7.132667618,1,-12.40875912,-7.019438445,23.56564019,2,1,3,4.62388209,0,37215,38684,3.947333065,3,47.23127036,2
Mornington Peninsula,51,214,38.90713021,0,-21.36830683,0,605,400,1,1,64600,2,-7.369758577,1,1.25,4.750593824,9.676204819,3,2,0,3.175038374,2,21628,21816,0.869243573,1,47.23127036,2
Victoria - North West,51,215,10.82009453,3,-8.690355875,1,250,290,3,3,50200,1,-0.350778729,3,10.71428571,18.82352941,19.44045911,3,3,2,4.391915237,0,15986,16069,0.519204304,1,47.23127036,1
Shepparton,51,216,3.382517659,3,0.050113041,2,240,285,3,3,53800,1,-1.410505837,2,-40,-18.0952381,11.85609158,0,0,0,1.349121368,3,12726,12703,-0.180732359,0,47.81834372,2
Warrnambool and South West,51,217,10.82009453,3,42.94350354,3,302.75,320,3,2,56000,1,-0.551797793,3,-42.85714286,-7.608695652,9.743135518,0,1,0,3.887969681,1,13056,13084,0.214460784,0,66.5577342,3
Brisbane - East,51,301,13.92362632,3,0,0,424.5,400,2,1,82400,2,-16.58031088,0,15.87301587,7.336956522,10.44979555,3,2,0,2.57493908,2,16605,16760,0.933453779,1,66.5577342,1
Brisbane - North,51,302,13.92362632,2,0,0,430,385,1,1,81200,2,-19.67213115,0,-2.857142857,3.472222222,15.77568134,2,2,1,3.438085608,1,13704,14049,2.517513135,3,21.07526882,1
Brisbane - South,51,303,13.92362632,2,11.41063648,2,522.5,410,1,1,85100,2,-12.92517007,0,-12.87878788,-16.97674419,25.38046146,2,0,3,4.574030529,0,28120,28885,2.720483642,3,21.07526882,1
Brisbane - West,51,304,13.92362632,2,0,0,574,460,1,0,105000,3,-13.59223301,0,-16.42512077,20.69767442,16.40937679,2,3,1,4.701873948,0,13402,13644,1.805700642,2,21.07526882,1
Brisbane Inner City,51,305,13.92362632,2,0,0,740,500,0,0,102600,3,-7.395993837,1,4.229607251,-3.29029571,15.78184454,3,1,1,3.351749617,2,40278,40886,1.509508913,2,21.07526882,1
Cairns,51,306,10.17732822,3,-10.29453409,1,422.5,390,2,1,61500,2,-2.06702161,2,6.666666667,-7.736389685,12.4621376,3,1,0,8.852595605,0,20579,20617,0.184654259,0,21.07526882,0
Darling Downs - Maranoa,51,307,5.693583149,3,-18.41750803,1,197,240,3,3,55600,1,0.492667278,3,-9.090909091,4.081632653,17.44529864,2,2,2,0,0,17435,17821,2.213937482,3,-23.04469274,0
Fitzroy,51,308,13.92362632,2,104.2178548,3,310,323,2,2,81800,2,3.823735136,3,-39.47368421,9.782608696,10.78775715,0,3,0,3.262424611,2,16472,16537,0.394609034,1,-23.04469274,0
Gold Coast,51,309,13.92362632,2,0,0,505,440,1,1,68300,2,-6.462585034,1,-16.44295302,-4.518211157,19.04342354,1,1,2,3.340340375,2,54855,55829,1.775590192,2,82.50377074,3
